,Travel Destination,Hotel Link,Hotel Best Deal,Flight Link,Flight Best Deal
32,Nusa Penida,https://www.tripadvisor.co.id/Hotels-g2538506-Nusa_Penida_Bali-Hotels.html,Rp 500.776,https://www.tripadvisor.co.id/Flights-g2538506-Nusa_Penida_Bali-Cheap_Discount_Airfares.html,Rp 1.145.870
33,Labuan Bajo,https://www.tripadvisor.co.id/Hotels-g1777483-Labuan_Bajo_Flores_East_Nusa_Tenggara-Hotels.html,Rp 15.932.231,https://www.tripadvisor.co.id/Flights-g1777483-Labuan_Bajo_Flores_East_Nusa_Tenggara-Cheap_Discount_Airfares.html,Rp 1.915.200
34,Tangerang,https://www.tripadvisor.co.id/Hotels-g1493703-Tangerang_Banten_Province_Java-Hotels.html,Rp 525.300,https://www.tripadvisor.co.id/Flights-g1493703-Tangerang_Banten_Province_Java-Cheap_Discount_Airfares.html,
35,Pantai Lovina,https://www.tripadvisor.co.id/Hotels-g1599559-Lovina_Beach_Buleleng_District_Buleleng_Regency_Bali-Hotels.html,Rp 1.655.215,https://www.tripadvisor.co.id/Flights-g1599559-Lovina_Beach_Buleleng_District_Buleleng_Regency_Bali-Cheap_Discount_Airfares.html,Rp 1.145.870
36,Batu,https://www.tripadvisor.co.id/Hotels-g1237079-Batu_East_Java_Java-Hotels.html,Rp 594.247,https://www.tripadvisor.co.id/Flights-g1237079-Batu_East_Java_Java-Cheap_Discount_Airfares.html,
37,Garut,https://www.tripadvisor.co.id/Hotels-g1137840-Garut_West_Java_Java-Hotels.html,Rp 377.686,https://www.tripadvisor.co.id/Flights-g1137840-Garut_West_Java_Java-Cheap_Discount_Airfares.html,
38,Pangandaran,https://www.tripadvisor.co.id/Hotels-g1137814-Pangandaran_West_Java_Java-Hotels.html,Rp 460.694,https://www.tripadvisor.co.id/Flights-g1137814-Pangandaran_West_Java_Java-Cheap_Discount_Airfares.html,
39,Ungasan,https://www.tripadvisor.co.id/Hotels-g1219108-Ungasan_Nusa_Dua_Peninsula_Bali-Hotels.html,Rp 1.749.174,https://www.tripadvisor.co.id/Flights-g1219108-Ungasan_Nusa_Dua_Peninsula_Bali-Cheap_Discount_Airfares.html,Rp 1.305.700
40,Candidasa,https://www.tripadvisor.co.id/Hotels-g312684-Candidasa_Karangasem_Bali-Hotels.html,Rp 744.245,https://www.tripadvisor.co.id/Flights-g312684-Candidasa_Karangasem_Bali-Cheap_Discount_Airfares.html,Rp 1.305.700
41,Banyuwangi,https://www.tripadvisor.co.id/Hotels-g317103-Banyuwangi_East_Java_Java-Hotels.html,Rp 619.835,https://www.tripadvisor.co.id/Flights-g317103-Banyuwangi_East_Java_Java-Cheap_Discount_Airfares.html,Rp 1.361.200
42,Balikpapan,https://www.tripadvisor.co.id/Hotels-g317100-Balikpapan_East_Kalimantan_Kalimantan-Hotels.html,Rp 450.000,https://www.tripadvisor.co.id/Flights-g317100-Balikpapan_East_Kalimantan_Kalimantan-Cheap_Discount_Airfares.html,Rp 1.251.000
43,Semarang,https://www.tripadvisor.co.id/Hotels-g297712-Semarang_Central_Java_Java-Hotels.html,Rp 688.726,https://www.tripadvisor.co.id/Flights-g297712-Semarang_Central_Java_Java-Cheap_Discount_Airfares.html,Rp 751.044
44,Flores,https://www.tripadvisor.co.id/Hotels-g297729-Flores_East_Nusa_Tenggara-Hotels.html,Rp 702.479,https://www.tripadvisor.co.id/Flights-g297729-Flores_East_Nusa_Tenggara-Cheap_Discount_Airfares.html,Rp 3.106.350
45,Padang,https://www.tripadvisor.co.id/Hotels-g297726-Padang_West_Sumatra_Sumatra-Hotels.html,Rp 320.329,https://www.tripadvisor.co.id/Flights-g297726-Padang_West_Sumatra_Sumatra-Cheap_Discount_Airfares.html,Rp 1.111.700
46,Medan,https://www.tripadvisor.co.id/Hotels-g297725-Medan_North_Sumatra_Sumatra-Hotels.html,Rp 653.058,https://www.tripadvisor.co.id/Flights-g297725-Medan_North_Sumatra_Sumatra-Cheap_Discount_Airfares.html,Rp 1.285.565
47,Bandar Lampung,https://www.tripadvisor.co.id/Hotels-g297722-Bandar_Lampung_Lampung_Sumatra-Hotels.html,Rp 330.579,https://www.tripadvisor.co.id/Flights-g297722-Bandar_Lampung_Lampung_Sumatra-Cheap_Discount_Airfares.html,Rp 500.300
48,Sumba,https://www.tripadvisor.co.id/Hotels-g297731-Sumba_East_Nusa_Tenggara-Hotels.html,Rp 878.182,https://www.tripadvisor.co.id/Flights-g297731-Sumba_East_Nusa_Tenggara-Cheap_Discount_Airfares.html,
49,Cirebon,https://www.tripadvisor.co.id/Hotels-g297707-Cirebon_West_Java_Java-Hotels.html,Rp 250.000,https://www.tripadvisor.co.id/Flights-g297707-Cirebon_West_Java_Java-Cheap_Discount_Airfares.html,
50,Malang,https://www.tripadvisor.co.id/Hotels-g297710-Malang_East_Java_Java-Hotels.html,Rp 383.838,https://www.tripadvisor.co.id/Flights-g297710-Malang_East_Java_Java-Cheap_Discount_Airfares.html,
51,Pekanbaru,https://www.tripadvisor.co.id/Hotels-g303957-Pekanbaru_Riau_Province_Sumatra-Hotels.html,Rp 367.310,https://www.tripadvisor.co.id/Flights-g303957-Pekanbaru_Riau_Province_Sumatra-Cheap_Discount_Airfares.html,Rp 1.098.400
52,Gili Meno,https://www.tripadvisor.co.id/Hotels-g664665-Gili_Meno_Gili_Islands_Pemenang_Lombok_West_Nusa_Tenggara-Hotels.html,Rp 1.264.789,https://www.tripadvisor.co.id/Flights-g664665-Gili_Meno_Gili_Islands_Pemenang_Lombok_West_Nusa_Tenggara-Cheap_Discount_Airfares.html,Rp 1.186.169
53,Gili Air,https://www.tripadvisor.co.id/Hotels-g664667-Gili_Air_Gili_Islands_Pemenang_Lombok_West_Nusa_Tenggara-Hotels.html,Rp 437.702,https://www.tripadvisor.co.id/Flights-g664667-Gili_Air_Gili_Islands_Pemenang_Lombok_West_Nusa_Tenggara-Cheap_Discount_Airfares.html,Rp 1.186.169
54,Cisarua,https://www.tripadvisor.co.id/Hotels-g644045-Cisarua_West_Java_Java-Hotels.html,Rp 583.333,https://www.tripadvisor.co.id/Flights-g644045-Cisarua_West_Java_Java-Cheap_Discount_Airfares.html,
55,Tuban,https://www.tripadvisor.co.id/Hotels-g562690-Tuban_Kuta_Kuta_District_Bali-Hotels.html,Rp 788.500,https://www.tripadvisor.co.id/Flights-g562690-Tuban_Kuta_Kuta_District_Bali-Cheap_Discount_Airfares.html,Rp 1.305.700
57,Pemuteran,https://www.tripadvisor.co.id/Hotels-g608493-Pemuteran_Gerokgak_Buleleng_Regency_Bali-Hotels.html,Rp 130.165,https://www.tripadvisor.co.id/Flights-g608493-Pemuteran_Gerokgak_Buleleng_Regency_Bali-Cheap_Discount_Airfares.html,Rp 1.145.870
58,Tabanan,https://www.tripadvisor.co.id/Hotels-g608496-Tabanan_Bali-Hotels.html,Rp 818.182,https://www.tripadvisor.co.id/Flights-g608496-Tabanan_Bali-Cheap_Discount_Airfares.html,Rp 1.305.700
59,Amed,https://www.tripadvisor.co.id/Hotels-g608478-Amed_Abang_Karangasem_Bali-Hotels.html,Rp 495.000,https://www.tripadvisor.co.id/Flights-g608478-Amed_Abang_Karangasem_Bali-Cheap_Discount_Airfares.html,Rp 1.145.870
60,Palembang,https://www.tripadvisor.co.id/Hotels-g608501-Palembang_South_Sumatra_Sumatra-Hotels.html,Rp 468.608,https://www.tripadvisor.co.id/Flights-g608501-Palembang_South_Sumatra_Sumatra-Cheap_Discount_Airfares.html,Rp 869.123
61,Payangan,https://www.tripadvisor.co.id/Hotels-g608492-Payangan_Gianyar_Regency_Bali-Hotels.html,Rp 2.155.671,https://www.tripadvisor.co.id/Flights-g608492-Payangan_Gianyar_Regency_Bali-Cheap_Discount_Airfares.html,Rp 1.305.700
62,Kerobokan,https://www.tripadvisor.co.id/Hotels-g608486-Kerobokan_North_Kuta_Bali-Hotels.html,Rp 683.107,https://www.tripadvisor.co.id/Flights-g608486-Kerobokan_North_Kuta_Bali-Cheap_Discount_Airfares.html,Rp 1.305.700
63,Sukabumi,https://www.tripadvisor.co.id/Hotels-g297714-Sukabumi_West_Java_Java-Hotels.html,Rp 273.566,https://www.tripadvisor.co.id/Flights-g297714-Sukabumi_West_Java_Java-Cheap_Discount_Airfares.html,
64,Solo,https://www.tripadvisor.co.id/Hotels-g297713-Solo_Central_Java_Java-Hotels.html,Rp 150.119,https://www.tripadvisor.co.id/Flights-g297713-Solo_Central_Java_Java-Cheap_Discount_Airfares.html,Rp 887.300
65,Manado,https://www.tripadvisor.co.id/Hotels-g297721-Manado_North_Sulawesi_Sulawesi-Hotels.html,Rp 485.100,https://www.tripadvisor.co.id/Flights-g297721-Manado_North_Sulawesi_Sulawesi-Cheap_Discount_Airfares.html,Rp 2.161.400
66,Makassar,https://www.tripadvisor.co.id/Hotels-g297720-Makassar_South_Sulawesi_Sulawesi-Hotels.html,Rp 207.966,https://www.tripadvisor.co.id/Flights-g297720-Makassar_South_Sulawesi_Sulawesi-Cheap_Discount_Airfares.html,Rp 1.411.617
67,Raja Ampat,https://www.tripadvisor.co.id/Hotels-g2303999-Raja_Ampat_West_Papua-Hotels.html,Rp 2.941.819,https://www.tripadvisor.co.id/Flights-g2303999-Raja_Ampat_West_Papua-Cheap_Discount_Airfares.html,
68,Lembang,https://www.tripadvisor.co.id/Hotels-g7187358-Lembang_West_Java_Java-Hotels.html,Rp 669.421,https://www.tripadvisor.co.id/Flights-g7187358-Lembang_West_Java_Java-Cheap_Discount_Airfares.html,
69,Kedewatan,https://www.tripadvisor.co.id/Hotels-g1933359-Kedewatan_Ubud_Gianyar_Regency_Bali-Hotels.html,Rp 4.077.645,https://www.tripadvisor.co.id/Flights-g1933359-Kedewatan_Ubud_Gianyar_Regency_Bali-Cheap_Discount_Airfares.html,Rp 1.145.870
70,Kepulauan Gili,https://www.tripadvisor.co.id/Hotels-g1940487-Gili_Islands_Pemenang_Lombok_West_Nusa_Tenggara-Hotels.html,Rp 1.663.593,https://www.tripadvisor.co.id/Flights-g1940487-Gili_Islands_Pemenang_Lombok_West_Nusa_Tenggara-Cheap_Discount_Airfares.html,Rp 1.134.030
71,Tawangmangu,https://www.tripadvisor.co.id/Hotels-g3175991-Tawangmangu_Central_Java_Java-Hotels.html,Rp 402.462,https://www.tripadvisor.co.id/Flights-g3175991-Tawangmangu_Central_Java_Java-Cheap_Discount_Airfares.html,
72,Sukawati,https://www.tripadvisor.co.id/Hotels-g2646686-Sukawati_Gianyar_Regency_Bali-Hotels.html,Rp 3.103.585,https://www.tripadvisor.co.id/Flights-g2646686-Sukawati_Gianyar_Regency_Bali-Cheap_Discount_Airfares.html,Rp 1.290.200
73,Kedonganan,https://www.tripadvisor.co.id/Hotels-g3561989-Kedonganan_Jimbaran_South_Kuta_Bali-Hotels.html,Rp 373.106,https://www.tripadvisor.co.id/Flights-g3561989-Kedonganan_Jimbaran_South_Kuta_Bali-Cheap_Discount_Airfares.html,Rp 1.300.951
74,Serpong,https://www.tripadvisor.co.id/Hotels-g3574346-Serpong_Banten_Province_Java-Hotels.html,Rp 435.417,https://www.tripadvisor.co.id/Flights-g3574346-Serpong_Banten_Province_Java-Cheap_Discount_Airfares.html,
75,Pulau Weh,https://www.tripadvisor.co.id/Hotels-g1787388-Pulau_Weh_Aceh_Sumatra-Hotels.html,Rp 227.273,https://www.tripadvisor.co.id/Flights-g1787388-Pulau_Weh_Aceh_Sumatra-Cheap_Discount_Airfares.html,
76,Kepulauan Mentawai,https://www.tripadvisor.co.id/Hotels-g1572268-Mentawai_Islands_West_Sumatra_Sumatra-Hotels.html,Rp 272.727,https://www.tripadvisor.co.id/Flights-g1572268-Mentawai_Islands_West_Sumatra_Sumatra-Cheap_Discount_Airfares.html,Rp 1.111.700
77,Jepara,https://www.tripadvisor.co.id/Hotels-g1189712-Jepara_Central_Java_Java-Hotels.html,Rp 294.545,https://www.tripadvisor.co.id/Flights-g1189712-Jepara_Central_Java_Java-Cheap_Discount_Airfares.html,
78,Banda Aceh,https://www.tripadvisor.co.id/Hotels-g317109-Banda_Aceh_Aceh_Sumatra-Hotels.html,Rp 600.407,https://www.tripadvisor.co.id/Flights-g317109-Banda_Aceh_Aceh_Sumatra-Cheap_Discount_Airfares.html,Rp 2.827.200
