Country Name,Travel Destination,Location,Things to Do,Hotel Link,Hotel Best Deal,Flight Link,Flight Best Deal,Review Count
Indonesia,Pulau Bangka,"Kepulauan Bangka Belitung, Indonesia","['Wisata Alam & Taman (23)', 'Aktivitas Luar Ruangan (19)', 'Pemandangan & Tengara (9)', 'Tur (7)', 'Tur dengan Perahu & Olahraga Air (3)', 'Tempat Belanja (2)', 'Transportasi (2)', 'Hiburan malam (1)', 'Makanan & Minuman (1)', 'Museum (1)', 'Harga terjangkau (6)', 'Cocok untuk Anak-Anak (4)', 'Cocok untuk Kelompok Besar (4)', 'Masuk Gratis (3)', 'Lokasi bulan madu (2)', 'Cocok untuk Pasangan (1)', 'Cocok untuk Penggemar Aktivitas Ekstrem (1)', 'Tempat yang Belum Populer (1)', 'Berjiwa petualang (1)', 'Bagus Saat Hujan (1)']",https://www.tripadvisor.co.id/Hotels-g1234795-Bangka_Island_Bangka_Belitung_Islands_Sumatra-Hotels.html,384000,https://www.tripadvisor.co.id/Flights-g1234795-Bangka_Island_Bangka_Belitung_Islands_Sumatra-Cheap_Discount_Airfares.html,1201700,2811
Indonesia,Jayapura,"Papua, Indonesia","['Wisata Alam & Taman (7)', 'Pemandangan & Tengara (6)', 'Aktivitas Luar Ruangan (6)', 'Tempat Belanja (2)', 'Tur (2)', 'Museum (1)', 'Tur dengan Perahu & Olahraga Air (1)', 'Masuk Gratis (4)', 'Cocok untuk Kelompok Besar (3)', 'Harga terjangkau (2)', 'Cocok untuk Anak-Anak (2)', 'Cocok untuk Penggemar Aktivitas Ekstrem (1)', 'Tempat yang Belum Populer (1)', 'Berjiwa petualang (1)']",https://www.tripadvisor.co.id/Hotels-g680181-Jayapura_Papua-Hotels.html,540041,https://www.tripadvisor.co.id/Flights-g680181-Jayapura_Papua-Cheap_Discount_Airfares.html,7279100,1655
Indonesia,Sorong,"Papua Barat, Indonesia","['Aktivitas Luar Ruangan (21)', 'Tur (19)', 'Tur dengan Perahu & Olahraga Air (17)', 'Wisata Alam & Taman (5)', 'Pemandangan & Tengara (2)', 'Transportasi (2)', 'Cocok untuk Kelompok Besar (5)', 'Cocok untuk Pasangan (2)', 'Cocok untuk Anak-Anak (2)', 'Cocok untuk Penggemar Aktivitas Ekstrem (2)', 'Berjiwa petualang (2)', 'Harga terjangkau (1)', 'Lokasi bulan madu (1)', 'Tempat yang Belum Populer (1)', 'Masuk Gratis (1)']",https://www.tripadvisor.co.id/Hotels-g680179-Sorong_West_Papua-Hotels.html,560000,https://www.tripadvisor.co.id/Flights-g680179-Sorong_West_Papua-Cheap_Discount_Airfares.html,4067358,2620
Indonesia,Pangkalan Bun,"Kalimantan Tengah, Indonesia","['Tur (32)', 'Aktivitas Luar Ruangan (29)', 'Tur dengan Perahu & Olahraga Air (11)', 'Transportasi (4)', 'Tempat Belanja (2)', 'Wisata Alam & Taman (2)', 'Pemandangan & Tengara (1)', 'Cocok untuk Pasangan (14)', 'Cocok untuk Anak-Anak (11)', 'Cocok untuk Kelompok Besar (9)', 'Berjiwa petualang (8)', 'Harga terjangkau (3)', 'Cocok untuk Penggemar Aktivitas Ekstrem (2)', 'Lokasi bulan madu (1)', 'Tempat yang Belum Populer (1)', 'Bagus Saat Hujan (1)']",https://www.tripadvisor.co.id/Hotels-g680187-Pangkalan_Bun_Central_Kalimantan_Kalimantan-Hotels.html,909091,https://www.tripadvisor.co.id/Flights-g680187-Pangkalan_Bun_Central_Kalimantan_Kalimantan-Cheap_Discount_Airfares.html,1393300,2365
Indonesia,Bitung,"Sulawesi Utara, Indonesia","['Tur (11)', 'Aktivitas Luar Ruangan (11)', 'Wisata Alam & Taman (6)', 'Pemandangan & Tengara (3)', 'Tur dengan Perahu & Olahraga Air (2)', 'Transportasi (2)', 'Museum (1)', 'Harga terjangkau (3)', 'Cocok untuk Pasangan (2)', 'Cocok untuk Anak-Anak (2)', 'Berjiwa petualang (2)', 'Cocok untuk Kelompok Besar (1)', 'Cocok untuk Penggemar Aktivitas Ekstrem (1)', 'Tempat yang Belum Populer (1)', 'Bagus Saat Hujan (1)']",https://www.tripadvisor.co.id/Hotels-g680020-Bitung_North_Sulawesi_Sulawesi-Hotels.html,835950,https://www.tripadvisor.co.id/Flights-g680020-Bitung_North_Sulawesi_Sulawesi-Cheap_Discount_Airfares.html,2161400,3743
Indonesia,Pematang Siantar,"Sumatera Utara, Indonesia","['Pemandangan & Tengara (3)', 'Wisata Alam & Taman (3)', 'Tempat Belanja (1)', 'Kebun Binatang & Akuarium (1)', 'Taman Air & Taman Hiburan (1)', 'Hiburan & Permainan (1)', 'Transportasi (1)', 'Aktivitas Luar Ruangan (1)', 'Harga terjangkau (2)', 'Cocok untuk Anak-Anak (1)', 'Cocok untuk Kelompok Besar (1)', 'Masuk Gratis (1)']",https://www.tripadvisor.co.id/Hotels-g680010-Pematangsiantar_North_Sumatra_Sumatra-Hotels.html,365752,https://www.tripadvisor.co.id/Flights-g680010-Pematangsiantar_North_Sumatra_Sumatra-Cheap_Discount_Airfares.html,1202149,696
Indonesia,Palu,"Sulawesi Tengah, Indonesia","['Wisata Alam & Taman (6)', 'Aktivitas Luar Ruangan (5)', 'Pemandangan & Tengara (4)', 'Tur (3)', 'Tempat Belanja (2)', 'Spa & Kebugaran (1)', 'Museum (1)', 'Tur dengan Perahu & Olahraga Air (1)', 'Harga terjangkau (2)', 'Cocok untuk Anak-Anak (1)', 'Cocok untuk Kelompok Besar (1)', 'Masuk Gratis (1)']",https://www.tripadvisor.co.id/Hotels-g680017-Palu_Central_Sulawesi_Sulawesi-Hotels.html,749174,https://www.tripadvisor.co.id/Flights-g680017-Palu_Central_Sulawesi_Sulawesi-Cheap_Discount_Airfares.html,2655800,1442
Indonesia,Wonosobo,"Jawa Tengah, Indonesia","['Wisata Alam & Taman (10)', 'Pemandangan & Tengara (6)', 'Aktivitas Luar Ruangan (5)', 'Tur (4)', 'Transportasi (3)', 'Tempat Belanja (2)', 'Spa & Kebugaran (1)', 'Taman Air & Taman Hiburan (1)', 'Cocok untuk Anak-Anak (5)', 'Harga terjangkau (4)', 'Masuk Gratis (4)', 'Cocok untuk Pasangan (2)', 'Cocok untuk Kelompok Besar (2)', 'Lokasi bulan madu (2)', 'Cocok untuk Penggemar Aktivitas Ekstrem (2)', 'Tempat yang Belum Populer (1)', 'Berjiwa petualang (1)']",https://www.tripadvisor.co.id/Hotels-g1137818-Wonosobo_Central_Java_Java-Hotels.html,245239,https://www.tripadvisor.co.id/Flights-g1137818-Wonosobo_Central_Java_Java-Cheap_Discount_Airfares.html,1121048,1448
Indonesia,Trawas,"Jawa Timur, Indonesia","['Pemandangan & Tengara (2)', 'Taman Air & Taman Hiburan (1)', 'Wisata Alam & Taman (1)', 'Cocok untuk Anak-Anak (2)', 'Harga terjangkau (1)']",https://www.tripadvisor.co.id/Hotels-g2698863-Trawas_East_Java_Java-Hotels.html,257771,https://www.tripadvisor.co.id/Flights-g2698863-Trawas_East_Java_Java-Cheap_Discount_Airfares.html,1373152,310
Indonesia,Prigen,"Jawa Timur, Indonesia","['Pemandangan & Tengara (5)', 'Wisata Alam & Taman (3)', 'Aktivitas Luar Ruangan (2)', 'Tur (1)', 'Kebun Binatang & Akuarium (1)', 'Berjiwa petualang (2)', 'Cocok untuk Pasangan (1)', 'Harga terjangkau (1)', 'Cocok untuk Anak-Anak (1)', 'Cocok untuk Kelompok Besar (1)']",https://www.tripadvisor.co.id/Hotels-g2699971-Prigen_East_Java_Java-Hotels.html,550363,https://www.tripadvisor.co.id/Flights-g2699971-Prigen_East_Java_Java-Cheap_Discount_Airfares.html,1373152,966
