,Country Name,Travel Destination,Checking,Things to Do,location,reviewcount
42,Indonesia,Labuan Bajo,Labuan Bajo,"['Tur (383)', 'Aktivitas Luar Ruangan (376)', 'Tur dengan Perahu & Olahraga Air (290)', 'Transportasi (26)', 'Wisata Alam & Taman (16)', 'Makanan & Minuman (8)', 'Tempat Belanja (5)', 'Spa & Kebugaran (5)', 'Pemandangan & Tengara (5)', 'Kursus & Sanggar (1)', 'Museum (1)', 'Hiburan & Permainan (1)', 'Cocok untuk Pasangan (116)', 'Cocok untuk Kelompok Besar (103)', 'Cocok untuk Anak-Anak (65)', 'Berjiwa petualang (58)', 'Cocok untuk Penggemar Aktivitas Ekstrem (50)', 'Harga terjangkau (47)', 'Lokasi bulan madu (29)', 'Tempat yang Belum Populer (22)', 'Masuk Gratis (11)', 'Bagus Saat Hujan (8)']","Flores, Indonesia",44386
43,Indonesia,Tangerang,Tangerang,"['Spa & Kebugaran (20)', 'Tempat Belanja (18)', 'Hiburan & Permainan (15)', 'Tur (14)', 'Aktivitas Luar Ruangan (14)', 'Transportasi (7)', 'Pemandangan & Tengara (5)', 'Makanan & Minuman (4)', 'Tur dengan Perahu & Olahraga Air (4)', 'Wisata Alam & Taman (4)', 'Hiburan malam (3)', 'Taman Air & Taman Hiburan (3)', 'Sumber Informasi Wisatawan (3)', 'Kursus & Sanggar (2)', 'Museum (2)', '', 'Lihat semua', 'Cocok untuk Anak-Anak (19)', 'Bagus Saat Hujan (16)', 'Harga terjangkau (13)', 'Masuk Gratis (12)', 'Cocok untuk Kelompok Besar (9)', 'Cocok untuk Pasangan (3)', 'Cocok untuk Penggemar Aktivitas Ekstrem (3)', 'Berjiwa petualang (2)']","Banten Province, Indonesia",27153
44,Indonesia,Pantai Lovina,Pantai Lovina,"['Tur (61)', 'Aktivitas Luar Ruangan (45)', 'Tur dengan Perahu & Olahraga Air (36)', 'Transportasi (24)', 'Spa & Kebugaran (11)', 'Kursus & Sanggar (10)', 'Makanan & Minuman (9)', 'Hiburan malam (4)', 'Hiburan & Permainan (4)', 'Tempat Belanja (3)', 'Wisata Alam & Taman (3)', 'Pemandangan & Tengara (2)', 'Taman Air & Taman Hiburan (2)', 'Museum (1)', 'Sumber Informasi Wisatawan (1)', 'Cocok untuk Pasangan (31)', 'Cocok untuk Anak-Anak (21)', 'Harga terjangkau (19)', 'Bagus Saat Hujan (16)', 'Lokasi bulan madu (12)', 'Cocok untuk Kelompok Besar (10)', 'Masuk Gratis (5)', 'Cocok untuk Penggemar Aktivitas Ekstrem (4)', 'Tempat yang Belum Populer (4)', 'Berjiwa petualang (1)']","Buleleng, Indonesia",24948
45,Indonesia,Batu,Batu,"['Wisata Alam & Taman (23)', 'Pemandangan & Tengara (19)', 'Aktivitas Luar Ruangan (17)', 'Tur (15)', 'Tur dengan Perahu & Olahraga Air (8)', 'Tempat Belanja (7)', 'Taman Air & Taman Hiburan (7)', 'Museum (6)', 'Hiburan & Permainan (4)', 'Spa & Kebugaran (3)', 'Kebun Binatang & Akuarium (2)', 'Transportasi (2)', 'Hiburan malam (1)', 'Cocok untuk Anak-Anak (19)', 'Harga terjangkau (17)', 'Cocok untuk Kelompok Besar (16)', 'Cocok untuk Pasangan (11)', 'Cocok untuk Penggemar Aktivitas Ekstrem (6)', 'Masuk Gratis (3)', 'Bagus Saat Hujan (3)', 'Tempat yang Belum Populer (2)', 'Lokasi bulan madu (1)', 'Berjiwa petualang (1)']","Jawa Timur, Indonesia",16754
47,Indonesia,Garut,Garut,"['Wisata Alam & Taman (18)', 'Aktivitas Luar Ruangan (11)', 'Tur (5)', 'Pemandangan & Tengara (2)', 'Tempat Belanja (1)', 'Harga terjangkau (8)', 'Cocok untuk Anak-Anak (7)', 'Cocok untuk Kelompok Besar (4)', 'Cocok untuk Penggemar Aktivitas Ekstrem (2)', 'Masuk Gratis (2)', 'Cocok untuk Pasangan (1)', 'Berjiwa petualang (1)']","Jawa Barat, Indonesia",2936
48,Indonesia,Pangandaran,Pangandaran,"['Aktivitas Luar Ruangan (26)', 'Tur (23)', 'Tur dengan Perahu & Olahraga Air (17)', 'Wisata Alam & Taman (12)', 'Transportasi (3)', 'Hiburan & Permainan (1)', 'Harga terjangkau (7)', 'Cocok untuk Anak-Anak (6)', 'Cocok untuk Kelompok Besar (6)', 'Cocok untuk Penggemar Aktivitas Ekstrem (6)', 'Berjiwa petualang (3)', 'Cocok untuk Pasangan (2)', 'Lokasi bulan madu (2)', 'Tempat yang Belum Populer (1)', 'Masuk Gratis (1)']","Jawa Barat, Indonesia",3478
49,Indonesia,Ungasan,Ungasan,"['Aktivitas Luar Ruangan (10)', 'Tur (8)', 'Spa & Kebugaran (7)', 'Wisata Alam & Taman (5)', 'Tempat Belanja (3)', 'Kursus & Sanggar (2)', 'Taman Air & Taman Hiburan (2)', 'Tur dengan Perahu & Olahraga Air (2)', 'Hiburan & Permainan (2)', 'Makanan & Minuman (1)', 'Pemandangan & Tengara (1)', 'Museum (1)', 'Acara (1)', 'Cocok untuk Pasangan (11)', 'Lokasi bulan madu (10)', 'Cocok untuk Kelompok Besar (8)', 'Harga terjangkau (6)', 'Cocok untuk Anak-Anak (6)', 'Bagus Saat Hujan (6)', 'Tempat yang Belum Populer (4)', 'Masuk Gratis (4)', 'Cocok untuk Penggemar Aktivitas Ekstrem (2)', 'Berjiwa petualang (2)']","Semenanjung Nusa Dua, Indonesia",20054
51,Indonesia,Candidasa,Candidasa,"['Tur (36)', 'Aktivitas Luar Ruangan (22)', 'Tur dengan Perahu & Olahraga Air (12)', 'Spa & Kebugaran (9)', 'Transportasi (3)', 'Tempat Belanja (2)', 'Makanan & Minuman (2)', 'Wisata Alam & Taman (2)', 'Hiburan malam (1)', 'Cocok untuk Pasangan (18)', 'Harga terjangkau (13)', 'Cocok untuk Anak-Anak (13)', 'Lokasi bulan madu (12)', 'Bagus Saat Hujan (10)', 'Cocok untuk Penggemar Aktivitas Ekstrem (8)', 'Cocok untuk Kelompok Besar (6)', 'Masuk Gratis (3)', 'Tempat yang Belum Populer (2)', 'Berjiwa petualang (1)']","Karangasem, Indonesia",30957
52,Indonesia,Banyuwangi,Banyuwangi,"['Aktivitas Luar Ruangan (140)', 'Tur (138)', 'Wisata Alam & Taman (39)', 'Transportasi (34)', 'Tur dengan Perahu & Olahraga Air (27)', 'Pemandangan & Tengara (11)', 'Makanan & Minuman (3)', 'Spa & Kebugaran (3)', 'Tempat Belanja (2)', 'Taman Air & Taman Hiburan (2)', 'Hiburan & Permainan (2)', 'Kursus & Sanggar (1)', 'Museum (1)', 'Cocok untuk Pasangan (35)', 'Cocok untuk Kelompok Besar (34)', 'Harga terjangkau (26)', 'Cocok untuk Penggemar Aktivitas Ekstrem (18)', 'Cocok untuk Anak-Anak (13)', 'Berjiwa petualang (9)', 'Masuk Gratis (5)', 'Lokasi bulan madu (4)', 'Tempat yang Belum Populer (3)', 'Bagus Saat Hujan (1)']","Jawa Timur, Indonesia",13699
53,Indonesia,Balikpapan,Balikpapan,"['Wisata Alam & Taman (22)', 'Aktivitas Luar Ruangan (18)', 'Pemandangan & Tengara (13)', 'Tempat Belanja (10)', 'Tur (10)', 'Hiburan malam (3)', 'Taman Air & Taman Hiburan (3)', 'Spa & Kebugaran (2)', 'Museum (2)', 'Tur dengan Perahu & Olahraga Air (2)', 'Transportasi (2)', 'Makanan & Minuman (1)', 'Kursus & Sanggar (1)', 'Hiburan & Permainan (1)', 'Harga terjangkau (17)', 'Cocok untuk Anak-Anak (14)', 'Masuk Gratis (11)', 'Cocok untuk Kelompok Besar (6)', 'Bagus Saat Hujan (3)', 'Cocok untuk Pasangan (1)', 'Berjiwa petualang (1)']","Kalimantan Timur, Indonesia",10383
54,Indonesia,Semarang,Semarang,"['Pemandangan & Tengara (42)', 'Tur (20)', 'Wisata Alam & Taman (17)', 'Aktivitas Luar Ruangan (15)', 'Tempat Belanja (14)', 'Hiburan malam (11)', 'Hiburan & Permainan (10)', 'Transportasi (10)', 'Spa & Kebugaran (9)', 'Tur dengan Perahu & Olahraga Air (5)', 'Museum (4)', 'Taman Air & Taman Hiburan (4)', 'Makanan & Minuman (3)', 'Kursus & Sanggar (3)', 'Konser & Pertunjukan (1)', '', 'Lihat semua', 'Cocok untuk Anak-Anak (24)', 'Masuk Gratis (20)', 'Harga terjangkau (19)', 'Cocok untuk Kelompok Besar (15)', 'Cocok untuk Pasangan (6)', 'Bagus Saat Hujan (5)', 'Berjiwa petualang (2)', 'Lokasi bulan madu (1)', 'Cocok untuk Penggemar Aktivitas Ekstrem (1)', 'Tempat yang Belum Populer (1)']","Jawa Tengah, Indonesia",36995
55,Indonesia,Flores,Flores,"['Tur (414)', 'Aktivitas Luar Ruangan (411)', 'Tur dengan Perahu & Olahraga Air (298)', 'Wisata Alam & Taman (54)', 'Pemandangan & Tengara (37)', 'Transportasi (31)', 'Tempat Belanja (10)', 'Makanan & Minuman (10)', 'Spa & Kebugaran (5)', 'Museum (3)', 'Kursus & Sanggar (2)', 'Hiburan & Permainan (1)', 'Konser & Pertunjukan (1)', 'Cocok untuk Pasangan (135)', 'Cocok untuk Kelompok Besar (117)', 'Cocok untuk Anak-Anak (80)', 'Harga terjangkau (68)', 'Berjiwa petualang (63)', 'Cocok untuk Penggemar Aktivitas Ekstrem (55)', 'Lokasi bulan madu (34)', 'Tempat yang Belum Populer (29)', 'Masuk Gratis (18)', 'Bagus Saat Hujan (8)']","Nusa Tenggara Timur, Indonesia",56222
56,Indonesia,Padang,Padang,"['Aktivitas Luar Ruangan (34)', 'Wisata Alam & Taman (25)', 'Tur (22)', 'Pemandangan & Tengara (9)', 'Tur dengan Perahu & Olahraga Air (9)', 'Transportasi (6)', 'Tempat Belanja (5)', 'Makanan & Minuman (3)', 'Hiburan malam (2)', 'Spa & Kebugaran (2)', 'Kursus & Sanggar (2)', 'Museum (2)', 'Hiburan & Permainan (2)', 'Taman Air & Taman Hiburan (1)', 'Cocok untuk Anak-Anak (12)', 'Harga terjangkau (9)', 'Cocok untuk Kelompok Besar (7)', 'Masuk Gratis (7)', 'Cocok untuk Pasangan (4)', 'Cocok untuk Penggemar Aktivitas Ekstrem (3)', 'Bagus Saat Hujan (3)', 'Berjiwa petualang (1)']","West Sumatra, Indonesia",8722
57,Indonesia,Medan,Medan,"['Tur (52)', 'Aktivitas Luar Ruangan (45)', 'Tempat Belanja (18)', 'Spa & Kebugaran (16)', 'Transportasi (15)', 'Hiburan malam (13)', 'Pemandangan & Tengara (11)', 'Wisata Alam & Taman (11)', 'Makanan & Minuman (9)', 'Museum (9)', 'Tur dengan Perahu & Olahraga Air (5)', 'Hiburan & Permainan (5)', 'Kursus & Sanggar (4)', 'Taman Air & Taman Hiburan (4)', 'Kebun Binatang & Akuarium (1)', 'Cocok untuk Kelompok Besar (18)', 'Bagus Saat Hujan (16)', 'Cocok untuk Anak-Anak (15)', 'Harga terjangkau (14)', 'Masuk Gratis (13)', 'Cocok untuk Pasangan (10)', 'Cocok untuk Penggemar Aktivitas Ekstrem (3)', 'Lokasi bulan madu (1)', 'Tempat yang Belum Populer (1)', 'Berjiwa petualang (1)']","Sumatera Utara, Indonesia",30107
58,Indonesia,Bandar Lampung,Bandar Lampung,"['Wisata Alam & Taman (15)', 'Aktivitas Luar Ruangan (9)', 'Pemandangan & Tengara (7)', 'Tempat Belanja (6)', 'Tur (5)', 'Taman Air & Taman Hiburan (4)', 'Transportasi (4)', 'Tur dengan Perahu & Olahraga Air (3)', 'Spa & Kebugaran (2)', 'Museum (1)', 'Hiburan & Permainan (1)', 'Acara (1)', 'Cocok untuk Anak-Anak (11)', 'Harga terjangkau (6)', 'Cocok untuk Kelompok Besar (6)', 'Masuk Gratis (4)', 'Cocok untuk Pasangan (3)', 'Bagus Saat Hujan (3)', 'Lokasi bulan madu (1)']","Lampung, Indonesia",7673
59,Indonesia,Sumba,Sumba,"['Wisata Alam & Taman (56)', 'Aktivitas Luar Ruangan (34)', 'Pemandangan & Tengara (12)', 'Tur (8)', 'Tempat Belanja (3)', 'Hiburan & Permainan (3)', 'Kasino & Perjudian (2)', 'Transportasi (2)', 'Tur dengan Perahu & Olahraga Air (1)', 'Masuk Gratis (12)', 'Cocok untuk Anak-Anak (10)', 'Cocok untuk Kelompok Besar (9)', 'Harga terjangkau (6)', 'Cocok untuk Pasangan (5)', 'Tempat yang Belum Populer (4)', 'Lokasi bulan madu (2)', 'Cocok untuk Penggemar Aktivitas Ekstrem (2)', 'Bagus Saat Hujan (2)', 'Berjiwa petualang (1)']","Nusa Tenggara Timur, Indonesia",3273
60,Indonesia,Cirebon,Cirebon,"['Pemandangan & Tengara (16)', 'Tempat Belanja (12)', 'Tur (8)', 'Aktivitas Luar Ruangan (5)', 'Wisata Alam & Taman (4)', 'Transportasi (4)', 'Spa & Kebugaran (2)', 'Makanan & Minuman (1)', 'Museum (1)', 'Taman Air & Taman Hiburan (1)', 'Tur dengan Perahu & Olahraga Air (1)', 'Harga terjangkau (9)', 'Cocok untuk Anak-Anak (9)', 'Cocok untuk Kelompok Besar (7)', 'Masuk Gratis (7)', 'Bagus Saat Hujan (5)', 'Cocok untuk Pasangan (2)']","Jawa Barat, Indonesia",11111
61,Indonesia,Malang,Malang,"['Aktivitas Luar Ruangan (168)', 'Tur (147)', 'Wisata Alam & Taman (107)', 'Transportasi (47)', 'Pemandangan & Tengara (40)', 'Tempat Belanja (25)', 'Spa & Kebugaran (19)', 'Tur dengan Perahu & Olahraga Air (16)', 'Museum (8)', 'Taman Air & Taman Hiburan (7)', 'Hiburan & Permainan (7)', 'Makanan & Minuman (6)', 'Hiburan malam (4)', 'Kursus & Sanggar (4)', 'Cocok untuk Anak-Anak (42)', 'Harga terjangkau (39)', 'Cocok untuk Kelompok Besar (31)', 'Cocok untuk Pasangan (25)', 'Masuk Gratis (25)', 'Bagus Saat Hujan (13)', 'Cocok untuk Penggemar Aktivitas Ekstrem (11)', 'Berjiwa petualang (6)', 'Lokasi bulan madu (1)', 'Tempat yang Belum Populer (1)']","Jawa Timur, Indonesia",33782
62,Indonesia,Pekanbaru,Pekanbaru,"['Tempat Belanja (22)', 'Pemandangan & Tengara (10)', 'Wisata Alam & Taman (7)', 'Spa & Kebugaran (5)', 'Transportasi (4)', 'Hiburan malam (3)', 'Makanan & Minuman (3)', 'Taman Air & Taman Hiburan (3)', 'Hiburan & Permainan (2)', 'Aktivitas Luar Ruangan (2)', 'Tur (1)', 'Kebun Binatang & Akuarium (1)', 'Museum (1)', 'Sumber Informasi Wisatawan (1)', 'Masuk Gratis (7)', 'Harga terjangkau (6)', 'Cocok untuk Anak-Anak (6)', 'Bagus Saat Hujan (5)', 'Cocok untuk Kelompok Besar (4)']","Provinsi Riau, Indonesia",12316
63,Indonesia,Gili Meno,Gili Meno,"['Aktivitas Luar Ruangan (10)', 'Tur (7)', 'Tur dengan Perahu & Olahraga Air (7)', 'Wisata Alam & Taman (3)', 'Spa & Kebugaran (1)', 'Pemandangan & Tengara (1)', 'Transportasi (1)', 'Harga terjangkau (9)', 'Cocok untuk Pasangan (8)', 'Cocok untuk Penggemar Aktivitas Ekstrem (5)', 'Cocok untuk Anak-Anak (4)', 'Lokasi bulan madu (4)', 'Cocok untuk Kelompok Besar (3)', 'Masuk Gratis (3)', 'Bagus Saat Hujan (3)', 'Berjiwa petualang (2)', 'Tempat yang Belum Populer (1)']","Kepulauan Gili, Indonesia",14880
64,Indonesia,Gili Air,Gili Air,"['Aktivitas Luar Ruangan (40)', 'Tur (37)', 'Tur dengan Perahu & Olahraga Air (35)', 'Spa & Kebugaran (12)', 'Transportasi (7)', 'Kursus & Sanggar (3)', 'Hiburan malam (2)', 'Tempat Belanja (2)', 'Makanan & Minuman (1)', 'Hiburan & Permainan (1)', 'Bagus Saat Hujan (25)', 'Cocok untuk Pasangan (22)', 'Harga terjangkau (19)', 'Cocok untuk Penggemar Aktivitas Ekstrem (18)', 'Lokasi bulan madu (16)', 'Berjiwa petualang (12)', 'Cocok untuk Kelompok Besar (11)', 'Cocok untuk Anak-Anak (4)', 'Tempat yang Belum Populer (2)']","Kepulauan Gili, Indonesia",47702
65,Indonesia,Cisarua,Cisarua,"['Wisata Alam & Taman (4)', 'Aktivitas Luar Ruangan (4)', 'Tur (2)', 'Taman Air & Taman Hiburan (2)', 'Pemandangan & Tengara (1)', 'Kebun Binatang & Akuarium (1)', 'Tur dengan Perahu & Olahraga Air (1)', 'Hiburan & Permainan (1)', 'Cocok untuk Anak-Anak (2)', 'Cocok untuk Kelompok Besar (2)', 'Cocok untuk Pasangan (1)', 'Harga terjangkau (1)', 'Masuk Gratis (1)', 'Berjiwa petualang (1)']","Jawa Barat, Indonesia",2511
66,Indonesia,Tuban,Tuban,"['Tur (54)', 'Aktivitas Luar Ruangan (29)', 'Transportasi (22)', 'Spa & Kebugaran (13)', 'Tur dengan Perahu & Olahraga Air (10)', 'Tempat Belanja (6)', 'Kursus & Sanggar (2)', 'Pemandangan & Tengara (2)', 'Wisata Alam & Taman (2)', 'Hiburan malam (1)', 'Makanan & Minuman (1)', 'Museum (1)', 'Hiburan & Permainan (1)', 'Cocok untuk Pasangan (16)', 'Cocok untuk Anak-Anak (14)', 'Harga terjangkau (10)', 'Bagus Saat Hujan (10)', 'Cocok untuk Kelompok Besar (9)', 'Lokasi bulan madu (4)', 'Masuk Gratis (3)', 'Tempat yang Belum Populer (2)', 'Cocok untuk Penggemar Aktivitas Ekstrem (1)', 'Berjiwa petualang (1)']","Kuta, Indonesia",20552
67,Indonesia,Tuban,Tuban,"['Tur (54)', 'Aktivitas Luar Ruangan (29)', 'Transportasi (22)', 'Spa & Kebugaran (13)', 'Tur dengan Perahu & Olahraga Air (10)', 'Tempat Belanja (6)', 'Kursus & Sanggar (2)', 'Pemandangan & Tengara (2)', 'Wisata Alam & Taman (2)', 'Hiburan malam (1)', 'Makanan & Minuman (1)', 'Museum (1)', 'Hiburan & Permainan (1)', 'Cocok untuk Pasangan (16)', 'Cocok untuk Anak-Anak (14)', 'Harga terjangkau (10)', 'Bagus Saat Hujan (10)', 'Cocok untuk Kelompok Besar (9)', 'Lokasi bulan madu (4)', 'Masuk Gratis (3)', 'Tempat yang Belum Populer (2)', 'Cocok untuk Penggemar Aktivitas Ekstrem (1)', 'Berjiwa petualang (1)']","Jawa Timur, Indonesia",313
68,Indonesia,Pemuteran,Pemuteran,"['Tur (45)', 'Aktivitas Luar Ruangan (42)', 'Tur dengan Perahu & Olahraga Air (37)', 'Transportasi (20)', 'Spa & Kebugaran (7)', 'Wisata Alam & Taman (5)', 'Tempat Belanja (3)', 'Makanan & Minuman (2)', 'Kursus & Sanggar (1)', 'Pemandangan & Tengara (1)', 'Museum (1)', 'Cocok untuk Pasangan (29)', 'Harga terjangkau (22)', 'Cocok untuk Anak-Anak (16)', 'Cocok untuk Kelompok Besar (11)', 'Cocok untuk Penggemar Aktivitas Ekstrem (9)', 'Lokasi bulan madu (8)', 'Bagus Saat Hujan (7)', 'Masuk Gratis (3)', 'Berjiwa petualang (3)', 'Tempat yang Belum Populer (1)']","Gerokgak, Indonesia",22705
70,Indonesia,Tabanan,Tabanan,"['Tur (79)', 'Aktivitas Luar Ruangan (54)', 'Wisata Alam & Taman (21)', 'Pemandangan & Tengara (18)', 'Transportasi (14)', 'Tur dengan Perahu & Olahraga Air (10)', 'Kursus & Sanggar (7)', 'Makanan & Minuman (5)', 'Tempat Belanja (4)', 'Spa & Kebugaran (3)', 'Hiburan & Permainan (3)', 'Hiburan malam (2)', 'Museum (2)', 'Taman Air & Taman Hiburan (1)', 'Cocok untuk Anak-Anak (34)', 'Harga terjangkau (31)', 'Cocok untuk Pasangan (29)', 'Cocok untuk Kelompok Besar (23)', 'Lokasi bulan madu (14)', 'Masuk Gratis (11)', 'Cocok untuk Penggemar Aktivitas Ekstrem (8)', 'Tempat yang Belum Populer (5)', 'Berjiwa petualang (5)', 'Bagus Saat Hujan (1)']","Bali, Indonesia",21625
72,Indonesia,Amed,Amed,"['Tur (80)', 'Aktivitas Luar Ruangan (65)', 'Tur dengan Perahu & Olahraga Air (55)', 'Transportasi (25)', 'Spa & Kebugaran (13)', 'Wisata Alam & Taman (3)', 'Hiburan malam (2)', 'Kursus & Sanggar (2)', 'Tempat Belanja (1)', 'Pemandangan & Tengara (1)', 'Museum (1)', 'Hiburan & Permainan (1)', 'Cocok untuk Pasangan (51)', 'Harga terjangkau (47)', 'Cocok untuk Penggemar Aktivitas Ekstrem (34)', 'Bagus Saat Hujan (32)', 'Lokasi bulan madu (29)', 'Cocok untuk Anak-Anak (27)', 'Cocok untuk Kelompok Besar (24)', 'Berjiwa petualang (9)', 'Masuk Gratis (4)', 'Tempat yang Belum Populer (1)']","Abang, Indonesia",53876
73,Indonesia,Palembang,Palembang,"['Pemandangan & Tengara (18)', 'Tempat Belanja (14)', 'Wisata Alam & Taman (6)', 'Aktivitas Luar Ruangan (6)', 'Spa & Kebugaran (5)', 'Museum (5)', 'Hiburan & Permainan (5)', 'Tur (4)', 'Transportasi (3)', 'Taman Air & Taman Hiburan (2)', 'Kebun Binatang & Akuarium (1)', 'Cocok untuk Anak-Anak (16)', 'Harga terjangkau (13)', 'Masuk Gratis (11)', 'Bagus Saat Hujan (7)', 'Cocok untuk Kelompok Besar (4)', 'Cocok untuk Pasangan (3)']","Sumatra Selatan, Indonesia",14345
74,Indonesia,Payangan,Payangan,"['Tur (27)', 'Aktivitas Luar Ruangan (22)', 'Tur dengan Perahu & Olahraga Air (9)', 'Spa & Kebugaran (5)', 'Makanan & Minuman (3)', 'Kursus & Sanggar (3)', 'Tempat Belanja (2)', 'Hiburan & Permainan (2)', 'Transportasi (2)', 'Pemandangan & Tengara (1)', 'Cocok untuk Pasangan (8)', 'Cocok untuk Anak-Anak (6)', 'Cocok untuk Kelompok Besar (6)', 'Lokasi bulan madu (5)', 'Berjiwa petualang (5)', 'Bagus Saat Hujan (5)', 'Harga terjangkau (4)', 'Cocok untuk Penggemar Aktivitas Ekstrem (4)', 'Tempat yang Belum Populer (4)']","Gianyar Regency, Indonesia",15482
75,Indonesia,Kerobokan,Kerobokan,"['Tur (47)', 'Spa & Kebugaran (31)', 'Aktivitas Luar Ruangan (31)', 'Tempat Belanja (18)', 'Tur dengan Perahu & Olahraga Air (15)', 'Transportasi (5)', 'Makanan & Minuman (4)', 'Kursus & Sanggar (4)', 'Pemandangan & Tengara (4)', 'Wisata Alam & Taman (4)', 'Hiburan malam (3)', 'Hiburan & Permainan (2)', 'Museum (1)', 'Cocok untuk Pasangan (19)', 'Bagus Saat Hujan (19)', 'Harga terjangkau (17)', 'Cocok untuk Anak-Anak (14)', 'Cocok untuk Kelompok Besar (9)', 'Lokasi bulan madu (6)', 'Masuk Gratis (6)', 'Cocok untuk Penggemar Aktivitas Ekstrem (5)', 'Tempat yang Belum Populer (2)']","Kuta Utara, Indonesia",66208
76,Indonesia,Sukabumi,Sukabumi,"['Wisata Alam & Taman (22)', 'Aktivitas Luar Ruangan (16)', 'Pemandangan & Tengara (15)', 'Tur (8)', 'Spa & Kebugaran (6)', 'Tur dengan Perahu & Olahraga Air (6)', 'Taman Air & Taman Hiburan (5)', 'Tempat Belanja (3)', 'Kursus & Sanggar (1)', 'Hiburan & Permainan (1)', 'Cocok untuk Kelompok Besar (7)', 'Harga terjangkau (5)', 'Cocok untuk Pasangan (4)', 'Cocok untuk Anak-Anak (3)', 'Masuk Gratis (3)', 'Tempat yang Belum Populer (2)', 'Berjiwa petualang (1)', 'Bagus Saat Hujan (1)']","Jawa Barat, Indonesia",2403
77,Indonesia,Solo,Solo,"['Tempat Belanja (23)', 'Pemandangan & Tengara (18)', 'Spa & Kebugaran (12)', 'Aktivitas Luar Ruangan (8)', 'Museum (7)', 'Wisata Alam & Taman (7)', 'Transportasi (7)', 'Tur (6)', 'Hiburan malam (4)', 'Makanan & Minuman (3)', 'Kursus & Sanggar (2)', 'Kebun Binatang & Akuarium (2)', 'Taman Air & Taman Hiburan (2)', 'Hiburan & Permainan (2)', 'Tur dengan Perahu & Olahraga Air (1)', '', 'Lihat semua', 'Harga terjangkau (13)', 'Masuk Gratis (13)', 'Cocok untuk Anak-Anak (11)', 'Bagus Saat Hujan (10)', 'Cocok untuk Kelompok Besar (6)', 'Cocok untuk Pasangan (5)', 'Tempat yang Belum Populer (1)']","Jawa Tengah, Indonesia",25525
78,Indonesia,Manado,Manado,"['Aktivitas Luar Ruangan (38)', 'Tur (30)', 'Tur dengan Perahu & Olahraga Air (23)', 'Wisata Alam & Taman (10)', 'Pemandangan & Tengara (7)', 'Tempat Belanja (6)', 'Spa & Kebugaran (6)', 'Hiburan malam (5)', 'Transportasi (5)', 'Makanan & Minuman (3)', 'Taman Air & Taman Hiburan (3)', 'Hiburan & Permainan (3)', 'Kursus & Sanggar (1)', 'Museum (1)', 'Cocok untuk Anak-Anak (8)', 'Masuk Gratis (8)', 'Cocok untuk Pasangan (7)', 'Harga terjangkau (6)', 'Bagus Saat Hujan (5)', 'Cocok untuk Kelompok Besar (4)', 'Cocok untuk Penggemar Aktivitas Ekstrem (3)', 'Lokasi bulan madu (1)', 'Tempat yang Belum Populer (1)', 'Berjiwa petualang (1)']","Sulawesi Utara, Indonesia",18926
79,Indonesia,Makassar,Makassar,"['Tur (30)', 'Aktivitas Luar Ruangan (23)', 'Transportasi (16)', 'Tempat Belanja (15)', 'Pemandangan & Tengara (15)', 'Wisata Alam & Taman (10)', 'Spa & Kebugaran (9)', 'Tur dengan Perahu & Olahraga Air (7)', 'Hiburan malam (6)', 'Makanan & Minuman (5)', 'Hiburan & Permainan (4)', 'Taman Air & Taman Hiburan (2)', 'Cocok untuk Anak-Anak (13)', 'Masuk Gratis (12)', 'Harga terjangkau (11)', 'Cocok untuk Pasangan (6)', 'Bagus Saat Hujan (6)', 'Cocok untuk Kelompok Besar (4)', 'Cocok untuk Penggemar Aktivitas Ekstrem (2)', 'Tempat yang Belum Populer (1)', 'Berjiwa petualang (1)']","Sulawesi Selatan, Indonesia",29012
80,Indonesia,Raja Ampat,Raja Ampat,"['Aktivitas Luar Ruangan (22)', 'Wisata Alam & Taman (21)', 'Tur (18)', 'Tur dengan Perahu & Olahraga Air (16)', 'Pemandangan & Tengara (8)', 'Transportasi (5)', 'Cocok untuk Pasangan (9)', 'Cocok untuk Penggemar Aktivitas Ekstrem (8)', 'Berjiwa petualang (5)', 'Harga terjangkau (4)', 'Cocok untuk Kelompok Besar (4)', 'Lokasi bulan madu (4)', 'Cocok untuk Anak-Anak (3)', 'Tempat yang Belum Populer (2)', 'Masuk Gratis (2)']","Papua Barat, Indonesia",4433
81,Indonesia,Lembang,Lembang,"['Wisata Alam & Taman (10)', 'Pemandangan & Tengara (7)', 'Aktivitas Luar Ruangan (6)', 'Tempat Belanja (3)', 'Museum (3)', 'Spa & Kebugaran (2)', 'Tur (2)', 'Kebun Binatang & Akuarium (1)', 'Taman Air & Taman Hiburan (1)', 'Hiburan & Permainan (1)', 'Cocok untuk Anak-Anak (16)', 'Harga terjangkau (10)', 'Cocok untuk Kelompok Besar (8)', 'Cocok untuk Pasangan (7)', 'Berjiwa petualang (2)', 'Lokasi bulan madu (1)', 'Cocok untuk Penggemar Aktivitas Ekstrem (1)', 'Tempat yang Belum Populer (1)', 'Masuk Gratis (1)', 'Bagus Saat Hujan (1)']","Jawa Barat, Indonesia",7598
